time,GIC_SS1,GIC_SS5
2017-09-04 01:47:00,0.3606664009615675,0.0
2017-09-04 01:48:00,0.27808124038181076,0.0
2017-09-04 01:49:00,0.2241080831321666,0.0
2017-09-04 01:50:00,0.15170311729916217,0.0
2017-09-04 01:51:00,0.04742264838414419,0.0
2017-09-04 01:52:00,-0.01949999999999999,0.0
2017-09-04 01:53:00,-0.02172057211253155,0.0
2017-09-04 01:54:00,0.020339054013277024,0.0
2017-09-04 01:55:00,0.07061979480989744,0.0
2017-09-04 01:56:00,0.08359479134186942,0.0
2017-09-04 01:57:00,0.06625312311406158,0.0
2017-09-04 01:58:00,0.024719270519010256,0.0
2017-09-04 01:59:00,0.02100000000000002,0.0
2017-09-04 02:00:00,0.00628125000000002,0.0
2017-09-04 02:01:00,-0.003907549712837331,0.0
2017-09-04 02:02:00,-0.023999999999999994,0.0
2017-09-04 02:03:00,-0.046499999999999986,0.0
2017-09-04 02:04:00,-0.0868187442793776,0.0
2017-09-04 02:05:00,-0.13199999999999998,0.0
2017-09-04 02:06:00,-0.14440781155703075,0.0
2017-09-04 02:07:00,-0.1866838494885386,0.0
2017-09-04 02:08:00,-0.18459999622812312,0.0
2017-09-04 02:09:00,-0.22349999999999998,0.0
2017-09-04 02:10:00,-0.24975,0.0
2017-09-04 02:11:00,-0.27528411285455645,0.0
2017-09-04 02:12:00,-0.26894375377187685,0.0
2017-09-04 02:13:00,-0.280465363202945,0.0
2017-09-04 02:14:00,-0.2677151063669282,0.0
2017-09-04 02:15:00,-0.2497851573108297,0.0
2017-09-04 02:16:00,-0.28575,0.0
2017-09-04 02:17:00,-0.346875,0.0
2017-09-04 02:18:00,-0.35475,0.0
2017-09-04 02:19:00,-0.33514140498486233,0.0
2017-09-04 02:20:00,-0.2835,0.0
2017-09-04 02:21:00,-0.20726484344353807,0.0
2017-09-04 02:22:00,-0.10388017119119701,0.0
2017-09-04 02:23:00,-0.01676328077851539,0.0
2017-09-04 02:24:00,0.031012501131551698,0.0
2017-09-04 02:25:00,0.0007500000000000284,0.0
2017-09-04 02:26:00,0.013124999999999998,0.0
2017-09-04 02:27:00,0.016913284165317188,0.0
2017-09-04 02:28:00,-0.007874999999999993,0.0
2017-09-04 02:29:00,-0.008624999999999994,0.0
2017-09-04 02:30:00,0.3083515454481448,0.0
2017-09-04 02:31:00,0.19875000000000004,0.0
2017-09-04 02:32:00,0.12596041455024592,0.0
2017-09-04 02:33:00,0.053880462880075634,0.0
2017-09-04 02:34:00,0.02034428183464092,0.0
2017-09-04 02:35:00,-0.011249999999999982,0.0
2017-09-04 02:36:00,-0.031875,0.0
2017-09-04 02:37:00,-0.045490645745322855,0.0
2017-09-04 02:38:00,-0.08723752778588025,0.0
2017-09-04 02:39:00,-0.055874999999999994,0.0
2017-09-04 02:40:00,-0.07608333207604102,0.0
2017-09-04 02:41:00,-0.061830722382595224,0.0
2017-09-04 02:42:00,-0.04234220353047675,0.0
2017-09-04 02:43:00,-0.0769244870247435,0.0
2017-09-04 02:44:00,-0.10937187440279215,0.0
2017-09-04 02:45:00,-0.12304296922148461,0.0
2017-09-04 02:46:00,-0.15001510621498476,0.0
2017-09-04 02:47:00,-0.14925,0.0
2017-09-04 02:48:00,-0.16273125,0.0
2017-09-04 02:49:00,-0.10424999999999998,0.0
2017-09-04 02:50:00,-0.15558072615443416,0.0
2017-09-04 02:51:00,-0.1912757770066385,0.0
2017-09-04 02:52:00,-0.23324999999999999,0.0
2017-09-04 02:53:00,-0.26025,0.0
2017-09-04 02:54:00,-0.23677651252263127,0.0
